Category,Service,Tier/CEU,Regular_AUD,Sale_AUD,Brief_Desc,Key_Inclusions
CEU Workshop,PRESCRIPTIVE STRETCHING,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,POSTURAL CORRECTION,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,PERFORMANCE NUTRITION,8 CEU,649,549,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,MARTIAL ARTS CONDITIONING,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,EXERCISE FOR THE FRAIL ELDERLY,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,DEVELOPING MEAL FOR ATHLETES,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,DANCER WELLNESS,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,CORE TRAINING FOR ATHLETES,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,BREATHING FOR ULTIMATE ATHLETIC SUCCESS,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,APPLIED SPORTS MECHANICS,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,ADVANCED PLYOMETRIC TRAINING,12 CEU,699,599,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,YOGA FOR ATHLETES,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,TRX SUSPENSION TRAINING,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,STRETCHING ANATOMY,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,STRETCH TO WIN,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,RUNNING ANATOMY,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,OBSTACLE COURSE TRAINING,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,NUTRITION FOR YOUNG ATHLETES,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,MUSCLE MECHANICS,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,DESIGNING WEIGHT TRAINING PROGRAMS,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,FULL BODY FLEXIBILITY,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
CEU Workshop,FUNDAMENTAL WEIGHT TRAINING,6 CEU,349,299,Continuing‑education self‑study course (textbook/ebook + exam).,Textbook/E‑book; Study Guide; CEU Exam
